TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
19990121,-4.306,0.0,146.756,94.104,0.0,236.96,0.0,1.475,0.0,101.372,1.0,0.115,0.0,1.288,0.0,-9999,-9999,-9999,-9999,138.56959975666666,1.0,-9999,-9999,-9999,-9999,372.473,0.0,-9999,-9999,-9999,-9999,30.8882,-9999,-9999,-9999,-9999,-9999,-35.648,-9999,-9999,-9999,-9999,-9999,0.48753,0.0,-9999,0.48753,0.48753,0.48753,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990122,-4.48,0.0,148.506,77.126,0.0,261.365,0.0,1.319,0.0,102.465,1.0,0.236,0.0,1.938,0.0,-9999,0.0,-9999,0.0,152.33463217833335,1.0,-9999,0.0,-9999,0.0,371.498,0.0,-9999,-9999,-9999,-9999,34.9047,-9999,-9999,-9999,-9999,-9999,-20.0881,-9999,-9999,-9999,-9999,-9999,0.425211,0.0,-9999,0.425211,0.425211,0.425211,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990123,-1.884,0.0,150.309,14.249,0.0,308.049,0.0,0.838,0.0,102.2,1.0,1.322,0.0,2.024,0.0,-9999,0.0,-9999,0.0,18.6116145673125,1.0,-9999,0.0,-9999,0.0,371.569,0.0,-9999,-9999,-9999,-9999,9.27664,-9999,-9999,-9999,-9999,-9999,26.9819,-9999,-9999,-9999,-9999,-9999,0.469785,0.0,-9999,0.469785,0.469785,0.469785,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990124,8.112,0.0,152.164,6.061,0.0,351.253,0.0,0.842,0.0,99.878,1.0,14.832,0.0,3.819,0.0,-9999,0.0,-9999,0.0,16.38884059675,1.0,-9999,0.0,-9999,0.0,372.164,0.0,-9999,-9999,-9999,-9999,6.60373,-9999,-9999,-9999,-9999,-9999,33.5366,-9999,-9999,-9999,-9999,-9999,0.468103,0.0,-9999,0.468103,0.468103,0.468103,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990125,-2.131,0.0,154.069,95.271,0.0,230.64,0.0,2.319,0.0,100.301,1.0,0.013,0.0,3.05,0.0,-9999,0.0,-9999,0.0,210.39910517937503,1.0,-9999,0.0,-9999,0.0,372.164,0.0,-9999,-9999,-9999,-9999,6.60373,-9999,-9999,-9999,-9999,-9999,33.5366,-9999,-9999,-9999,-9999,-9999,0.468103,0.0,-9999,0.468103,0.468103,0.468103,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990126,-7.537,0.0,156.025,103.429,0.0,203.227,0.0,1.599,0.0,101.426,1.0,0.005,0.0,1.763,0.5,-9999,0.0,-9999,0.0,214.83258781854167,1.0,-9999,0.0,-9999,0.0,372.172,0.520833,-9999,-9999,-9999,-9999,6.48425,-9999,-9999,-9999,-9999,-9999,33.533,-9999,-9999,-9999,-9999,-9999,0.47105,0.5,-9999,0.47105,0.47105,0.47105,0.5,0.5,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990127,-4.859,0.0,158.031,59.596,0.0,239.345,0.0,1.692,0.0,101.007,1.0,0.11,0.0,2.567,0.958333,0.42788469739130436,0.9583333333333334,-9999,0.0,159.44235984541666,1.0,-9999,0.0,-9999,0.0,371.753,1.0,-9999,-9999,-9999,-9999,15.1354,-9999,-9999,-9999,-9999,-9999,10.5329,-9999,-9999,-9999,-9999,-9999,0.474484,1.0,-9999,0.474484,0.474484,0.474484,1.0,1.0,1.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990128,-13.756,0.0,160.086,85.363,0.0,205.443,0.0,0.991,0.0,101.273,1.0,0.001,0.0,2.828,0.875,0.6122008571428571,0.875,-9999,-9999,205.54895391083332,1.0,-9999,-9999,-9999,-9999,369.582,1.0,-9999,-9999,-9999,-9999,9.4121,-9999,-9999,-9999,-9999,-9999,46.3988,-9999,-9999,-9999,-9999,-9999,0.539527,0.625,-9999,0.539527,0.539527,0.539527,0.625,0.625,0.625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990129,-14.462,0.0,162.188,105.528,0.0,187.968,0.0,0.99,0.0,101.844,1.0,0.001,0.0,2.358,0.958333,0.421624077826087,0.9583333333333334,-9999,0.0,225.89929495729166,1.0,-9999,0.0,-9999,0.0,369.074,1.0,-9999,-9999,-9999,-9999,9.49262,-9999,-9999,-9999,-9999,-9999,46.184,-9999,-9999,-9999,-9999,-9999,0.387079,0.520833,-9999,0.387079,0.387079,0.387079,0.520833,0.520833,0.520833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
19990130,-14.96,0.0,164.338,105.618,0.0,175.84,0.0,1.065,0.0,102.364,1.0,0.0,0.0,2.803,1.0,0.4975444335416667,1.0,-9999,0.0,191.2822544216667,1.0,-9999,0.0,-9999,0.0,369.851,1.0,-9999,-9999,-9999,-9999,8.83161,-9999,-9999,-9999,-9999,-9999,17.5179,-9999,-9999,-9999,-9999,-9999,0.479096,0.770833,-9999,0.479096,0.479096,0.479096,0.770833,0.770833,0.770833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
